id,request,class
496,"Запрос на выдачу справки о доходах для банка.",HR
497,"Некорректные данные в регистре закупок.",Бухгалтерия
498,"Не получается выполнить rollback сервиса.",IT
499,"Прошу оформить выплату пособия по беременности.",HR
500,"Ошибка в налоговых регистрах по НДС.",Бухгалтерия
501,"Не могу открыть внутренний репозиторий.",IT
502,"Запрос на подтверждение перерасчёта отпуска.",HR
503,"Некорректно закрыты месячные проводки.",Бухгалтерия
504,"Сервис падает при обработке очереди.",IT
505,"Прошу выдать справку о доходах для аренды.",HR
506,"Проблемы с корректностью формируемой налоговой отчётности.",Бухгалтерия
507,"Не доходят оповещения из мониторинга.",IT
508,"Прошу оформить перерасчёт заработной платы.",HR
509,"Неверно отражены суммы по НДФЛ.",Бухгалтерия
510,"Не проходит деплой артефактов в Nexus.",IT
511,"Запрос на выплату компенсации за мобильную связь.",HR
512,"Ошибка при формировании налоговой отчётности.",Бухгалтерия
513,"Не работает интеграция с внешним провайдером аутентификации.",IT
514,"Прошу предоставить справку о доходах для консульства.",HR
515,"Проблемы с начислением налогов при перерасчёте.",Бухгалтерия
516,"Не получается собрать проект в CI.",IT
517,"Прошу помочь с заполнением заявления на отпуск.",HR
518,"Не формируется отчёт по обособленным подразделениям.",Бухгалтерия
519,"Не поднимается служба мониторинга.",IT
520,"Запрос на выплату компенсации за переезд.",HR
521,"Ошибка при формировании проводок по НДС.",Бухгалтерия
522,"Проблемы с авторизацией на портале.",IT
523,"Прошу подтвердить перерасчёт зарплаты.",HR
524,"Некорректные суммы в налоговой отчётности.",Бухгалтерия
525,"Ошибка при сборке проектов — отсутствуют зависимости.",IT
526,"Запрос на выдачу справки о доходах для соцзащиты.",HR
527,"Не проходят сверки с контрагентами.",Бухгалтерия
528,"Не удаётся подключиться к Redis-кэшу.",IT
529,"Прошу оформить выплату за сверхурочную работу.",HR
530,"Ошибка в расчёте налогов за отчётный период.",Бухгалтерия
531,"Не работает мониторинг приложений.",IT
532,"Запрос на предоставление справки для кредита.",HR
533,"Некорректно сформированы налоговые регистры.",Бухгалтерия
534,"Не проходит тестовая сборка приложения.",IT
535,"Прошу выдать справку о доходах.",HR
536,"Проблемы с начислением премий.",Бухгалтерия
537,"Не могу открыть лог-файл на сервере.",IT
538,"Запрос на выплату компенсации за обучение.",HR
539,"Ошибка при заполнении декларации по НДС.",Бухгалтерия
540,"Сервис не отвечает на healthcheck.",IT
541,"Прошу уточнить порядок расчёта отпускных.",HR
542,"Проблемы с корректностью отражения НДС.",Бухгалтерия
543,"Не удаётся подключиться к LDAP-серверу.",IT
544,"Запрос на предоставление справки о доходах.",HR
545,"Ошибка при формировании отчёта по ОС.",Бухгалтерия
546,"Не работает почтовый шлюз.",IT
547,"Прошу ускорить выплату компенсации.",HR
548,"Некорректно оформлены первичные документы.",Бухгалтерия
549,"Не проходит деплой в production.",IT
550,"Запрос на выплату компенсации за переезд.",HR
551,"Ошибка в налоговых регистрах.",Бухгалтерия
552,"Проблемы с подключением к облачному хранилищу.",IT
553,"Прошу выдать справку о доходах при увольнении.",HR
554,"Неверно отражены суммы по поставщикам.",Бухгалтерия
555,"Не работает интеграция с внешним API.",IT
556,"Запрос на подтверждение перерасчёта зарплаты.",HR
557,"Проблемы с корректностью налоговой отчётности.",Бухгалтерия
558,"Не могу получить доступ к internal-dashboard.",IT
559,"Прошу оформить выплату компенсации за обучение.",HR
560,"Ошибка при формировании декларации по НДС.",Бухгалтерия
561,"Не проходят автоматические тесты при сборке.",IT
562,"Прошу выдать справку о доходах для банка.",HR
563,"Некорректно отражены проводки по валютным операциям.",Бухгалтерия
564,"Не получается подключиться к GitLab через SSH.",IT
565,"Запрос на перерасчёт заработной платы.",HR
566,"Проблемы с заполнением налоговой декларации.",Бухгалтерия
567,"Не проходят бэкапы баз данных.",IT
568,"Прошу выдать справку о доходах для посольства.",HR
569,"Ошибка в учёте НДС по импортным операциям.",Бухгалтерия
570,"Не работает служба очередей.",IT
571,"Запрос на выплату компенсации за переезд.",HR
572,"Некорректно сформированы ведомости по зарплате.",Бухгалтерия
573,"Проблемы с доставкой почты на внутренние ящики.",IT
574,"Прошу подтвердить стаж работы для банка.",HR
575,"Некорректные суммы в налоговой отчётности.",Бухгалтерия
576,"Не получается запустить тестовый стенд.",IT
577,"Запрос на оформление премии сотруднику.",HR
578,"Ошибки при учёте налогов за отчетный период.",Бухгалтерия
579,"Не работает CI-пайплайн для репозитория.",IT
580,"Прошу выдать справку о доходах для визы.",HR
581,"Проблемы с начислением авансов.",Бухгалтерия
582,"Не удаётся подключиться к S3 с правами записи.",IT
583,"Прошу оформить перерасчёт отпускных.",HR
584,"Некорректно отражены НДС-операции.",Бухгалтерия
585,"Не проходят проверки при деплое.",IT
586,"Запрос на выплату компенсации за мобильную связь.",HR
587,"Ошибка в расчёте страховых взносов.",Бухгалтерия
588,"Сбой при запуске контейнеров в кластере.",IT
589,"Прошу выдать справку о доходах для соцзащиты.",HR
590,"Проблемы с отражением операций в регистрах.",Бухгалтерия
591,"Не могу подключиться к внешнему API.",IT
592,"Прошу оформить выплату компенсации за обучение.",HR
593,"Ошибка при формировании отчёта по НДС.",Бухгалтерия
594,"Сбой в системе очередей.",IT
595,"Запрос на подтверждение перерасчёта зарплаты.",HR
596,"Некорректные проводки в учёте.",Бухгалтерия
597,"Не удаётся собрать проект в CI.",IT
598,"Прошу выдать справку о доходах для банка.",HR
599,"Некорректно сформированы налоговые регистры.",Бухгалтерия
600,"Не поднимается мониторинг на сервере.",IT
601,"Прошу оформить перерасчёт отпускных.",HR
602,"Ошибка в расчётах по налогам.",Бухгалтерия
603,"Не удаётся развернуть инфраструктуру через Terraform.",IT
604,"Запрос на выдачу справки о доходах.",HR
605,"Проблемы с данным в учёте по ОС.",Бухгалтерия
606,"Не работает отправка почты через SMTP.",IT
607,"Прошу оформить перерасчёт заработной платы.",HR
608,"Ошибка при импорте данных в 1С.",Бухгалтерия
609,"Сервис не доступен по HTTPS.",IT
610,"Прошу выдать справку о доходах для посольства.",HR
611,"Ошибка при формировании отчёта по налогам.",Бухгалтерия
612,"Не получается собрать проект локально.",IT
613,"Запрос на предоставление справки о доходах.",HR
614,"Некорректные данные в регистрах.",Бухгалтерия
615,"Не удаётся подключиться к базе данных.",IT
616,"Прошу выдать справку о доходах для банка.",HR
617,"Ошибка при расчёте налогов по операциям.",Бухгалтерия
618,"Проблемы с авторизацией в системе.",IT
619,"Прошу оформить перерасчёт отпускных.",HR
620,"Некорректные данные в журнале учёта.",Бухгалтерия
621,"Не могу получить доступ к GitLab CI.",IT
622,"Запрос на выплату компенсации за переезд.",HR
623,"Ошибка при формировании отчёта по налогам.",Бухгалтерия
624,"Не запускается приложение в контейнере.",IT
625,"Прошу подтвердить перерасчёт зарплаты.",HR
626,"Некорректно отражены суммы по налогам.",Бухгалтерия
627,"Не работают уведомления в приложении.",IT
628,"Прошу выдать справку о доходах для визы.",HR
629,"Проблемы с начислением налогов в 1С.",Бухгалтерия
630,"Не могу подключиться к SFTP.",IT
631,"Прошу оформить перерасчёт отпускных.",HR
632,"Ошибка при формировании декларации по НДС.",Бухгалтерия
633,"Не проходит сборка проекта на CI.",IT
634,"Запрос на выдачу справки о доходах.",HR
635,"Некорректно отражены проводки по зарплате.",Бухгалтерия
636,"Проблемы с доступом к внутренним репозиториям.",IT
637,"Прошу подтвердить перерасчёт по больничному.",HR
638,"Ошибка при расчёте налогов по спецрежиму.",Бухгалтерия
639,"Не работает служба очередей задач.",IT
640,"Запрос на оформление дополнительных выплат.",HR
641,"Некорректные суммы в налоговой декларации.",Бухгалтерия
642,"Не загружаются зависимости проекта.",IT
643,"Прошу выдать справку о доходах для банка.",HR
644,"Проблемы при формировании отчётов по НДС.",Бухгалтерия
645,"Не проходит деплой на тестовый стенд.",IT
646,"Запрос на компенсацию проезда.",HR
647,"Ошибка при пересчёте налогов.",Бухгалтерия
648,"Не работают webhook'и от CI.",IT
649,"Прошу выдать справку о доходах для посольства.",HR
650,"Проблемы с начислением налогов за период.",Бухгалтерия
651,"Не получается поднять контейнеры на хосте.",IT
652,"Запрос на перерасчёт заработной платы.",HR
653,"Ошибка при формировании регламентных отчётов.",Бухгалтерия
654,"Не проходит тестовая сборка.",IT
655,"Прошу выдать справку о доходах.",HR
656,"Некорректные данные в налоговых регистрах.",Бухгалтерия
657,"Не могу подключиться к внешнему API.",IT
658,"Прошу оформить перерасчёт отпускных.",HR
659,"Проблемы с корректностью налоговой документации.",Бухгалтерия
660,"Не проходит деплой в production.",IT
661,"Прошу выдать справку о доходах для банков.",HR
662,"Ошибка в проводках по НДФЛ.",Бухгалтерия
663,"Не запускается сервис очередей при нагрузке.",IT
664,"Запрос на перерасчёт зарплаты.",HR
665,"Некорректное отражение налогов в 1С.",Бухгалтерия
666,"Не удаётся выполнить миграции базы данных.",IT
667,"Прошу выдать справку о доходах для консульства.",HR
668,"Ошибка при расчёте амортизации ОС.",Бухгалтерия
669,"Не работают интеграции с внешними системами.",IT
670,"Запрос на подтверждение перерасчёта зарплаты.",HR
671,"Неверно заполняется книга продаж.",Бухгалтерия
672,"Не проходит сборка образов Docker.",IT
673,"Прошу оформить перерасчёт отпускных.",HR
674,"Некорректные данные в налоговой отчётности.",Бухгалтерия
675,"Не работает мониторинг производительности.",IT
676,"Прошу выдать справку о доходах для банка.",HR
677,"Проблемы с начислением налогов при перерасчёте.",Бухгалтерия
678,"Не могу подключиться к internal-registry.",IT
679,"Прошу подтвердить перерасчёт зарплаты.",HR
680,"Некорректные суммы в декларации по НДС.",Бухгалтерия
681,"Не запускаются тесты при сборке.",IT
682,"Прошу выдать справку о доходах.",HR
683,"Ошибка при формировании отчёта по налогам.",Бухгалтерия
684,"Проблемы с доступом к GitLab CI.",IT
685,"Прошу оформить перерасчёт заработной платы.",HR
686,"Не сходятся суммы в налоговой отчётности.",Бухгалтерия
687,"Не поднимается кластер баз данных.",IT
688,"Прошу выдать справку о доходах для посольства.",HR
689,"Проблемы при расчёте налогов по спецрежиму.",Бухгалтерия
690,"Не удаётся подключиться к S3.",IT
691,"Прошу оформить перерасчёт отпускных.",HR
692,"Некорректно сформированы регистры.",Бухгалтерия
693,"Не проходит сборка фронтенда на CI.",IT
694,"Прошу выдать справку о доходах.",HR
695,"Проблемы с отражением операций в регистрах.",Бухгалтерия
696,"Не удаётся подключиться к сервису логирования.",IT
697,"Прошу оформить перерасчёт зарплаты.",HR
698,"Некорректные суммы в налоговой отчётности.",Бухгалтерия
699,"Не получается развернуть приложение в k8s.",IT
700,"Прошу выдать справку о доходах для банка.",HR
701,"В учёте не отображаются корректировки.",Бухгалтерия
702,"Сервис не отвечает на healthcheck.",IT
703,"Прошу оформить перерасчёт отпускных.",HR
704,"Проблемы с корректностью налоговой отчётности.",Бухгалтерия
705,"Не получается поднять тестовый стенд.",IT
706,"Прошу выдать справку о доходах для посольства.",HR
707,"Ошибка при формировании отчёта по расходам.",Бухгалтерия
708,"Сбой в системе очередей на проде.",IT
709,"Прошу подтвердить перерасчёт зарплаты.",HR
710,"Некорректно оформлены первичные документы.",Бухгалтерия
711,"Не проходит сборка проекта на CI.",IT
712,"Прошу выдать справку о доходах для банка.",HR
713,"Проблемы с начислением налогов за период.",Бухгалтерия
714,"Не получается подключиться к SFTP.",IT
715,"Прошу оформить перерасчёт отпускных.",HR
716,"Некорректные данные в налоговой отчётности.",Бухгалтерия
717,"Не работает интеграция с внешним API.",IT
718,"Прошу выдать справку о доходах.",HR
719,"Ошибка в проводках по НДС.",Бухгалтерия
720,"Не удаётся собрать проект в CI.",IT
721,"Прошу оформить перерасчёт зарплаты.",HR
722,"Неверно отражены суммы в налоговой отчётности.",Бухгалтерия
723,"Не подключается мониторинг на хосте.",IT
724,"Прошу выдать справку о доходах для посольства.",HR
725,"Проблемы с начислением налогов при перерасчёте.",Бухгалтерия
726,"Не работает деплой через CI.",IT
727,"Прошу подтвердить перерасчёт зарплаты.",HR
728,"Некорректные суммы в декларации.",Бухгалтерия
729,"Не проходит тестовая сборка.",IT
730,"Прошу выдать справку о доходах.",HR
731,"Проблемы с расчётом налогов за период.",Бухгалтерия
732,"Не запускается контейнер базы данных.",IT
733,"Прошу оформить перерасчёт отпускных.",HR
734,"Ошибка при формировании регистров налоговой отчётности.",Бухгалтерия
735,"Не проходит деплой на staging.",IT
736,"Прошу выдать справку о доходах для банка.",HR
737,"Некорректные данные в налоговой отчётности.",Бухгалтерия
738,"Не получается подключиться к Redis.",IT
739,"Прошу оформить перерасчёт зарплаты.",HR
740,"Ошибка в декларации по НДС.",Бухгалтерия
741,"Не удаётся собрать проект в CI.",IT
742,"Прошу выдать справку о доходах.",HR
743,"Проблемы с начислением налогов.",Бухгалтерия
744,"Не поднимается служба мониторинга.",IT
745,"Прошу оформить перерасчёт отпускных.",HR
746,"Некорректно сформированы регистры.",Бухгалтерия
747,"Не запускается тестовый стенд.",IT
748,"Прошу выдать справку о доходах для посольства.",HR
749,"Ошибка при формировании отчёта по налогам.",Бухгалтерия
750,"Не проходят автоматические тесты при сборке.",IT
751,"Прошу выдать справку о доходах.",HR
752,"Некорректно отражены суммы в налоговой отчётности.",Бухгалтерия
753,"Не проходит деплой в production.",IT
754,"Прошу оформить перерасчёт зарплаты.",HR
755,"Ошибка в проводках по НДФЛ.",Бухгалтерия
756,"Не удаётся подключиться к внутреннему репозиторию.",IT
757,"Прошу выдать справку о доходах для банка.",HR
758,"Проблемы с начислением налогов.",Бухгалтерия
759,"Не получается собрать проект в CI.",IT
760,"Прошу оформить перерасчёт отпускных.",HR
761,"Некорректные данные в налоговой отчётности.",Бухгалтерия
762,"Не проходит деплой на staging.",IT
763,"Прошу выдать справку о доходах.",HR
764,"Ошибка при формировании регистров." ,Бухгалтерия
765,"Не удаётся подключиться к S3.",IT
766,"Прошу оформить перерасчёт зарплаты.",HR
767,"Некорректные суммы в налоговой отчётности.",Бухгалтерия
768,"Не работает сбор логов.",IT
769,"Прошу выдать справку о доходах.",HR
770,"Проблемы с отражением операций в регистрах.",Бухгалтерия
771,"Не получается развернуть приложение.",IT
772,"Прошу подтвердить перерасчёт зарплаты.",HR
773,"Ошибка при расчёте налога.",Бухгалтерия
774,"Не поднимается база данных.",IT
775,"Прошу выдать справку о доходах для банка.",HR
776,"Некорректное отражение затрат в учёте.",Бухгалтерия
777,"Не работает CI-пайплайн.",IT
778,"Прошу оформить перерасчёт отпускных.",HR
779,"Ошибка в учёте налогов.",Бухгалтерия
780,"Не получается собрать проект в CI.",IT
781,"Прошу выдать справку о доходах.",HR
782,"Некорректные суммы в налоговой отчётности.",Бухгалтерия
783,"Не удаётся подключиться к Redis.",IT
784,"Прошу изменить контактные данные в системе HR.",Мусорный
785,"Не приходят уведомления о новых задачах.",Мусорный
786,"Прошу доступ для внешнего консультанта.",Мусорный
787,"Проблема: 1С не запускается после обновления.",Бухгалтерия
788,"Выгрузка отчёта по НДФЛ устарела, нужна помощь.",IT
789,"Корпоративный антивирус блокирует рабочее приложение Notepad++. Нужно добавить в исключения.",Мусорный
790,"При печати документов из Visual Studio Code выводятся пустые страницы. Другие приложения печатают нормально.",Мусорный
791,"По зачвке #25136 от 18.10: проблема до сих пор не устранена. Когда будет решение?",Мусорный
792,"Нужно: добавить в группу AD, настроить VPN-доступ, и выдать токен для двухфакторной аутентификации.",IT
793,"Прошу оформить удалённую работу с 19.11. Заявление и согласование руководителя прикреплены.",HR
794,"Повторно: не работает оборудование (заявка от 30.10). Замена не произведена. Работать не могу!",Мусорный
795,"Требуется добавить права доступа к Teams для пользователя ivanova_aa. Роль: администратор.",IT
796,"Прошу изменить контактные данные в системе: новый телефон +7-977-866-73-19. Подтверждающий документ приложен.",Мусорный
797,"Прошу выдать о стаже для предоставления в банк. Нужна печать и подпись.",Мусорный
798,"Не могу подать заявку на обучение: форма выдаёт ошибку при отправке.",HR
799,"Не работает док-станция на 2 этаж, комната 7-145. Требуется замена или ремонт. Работа заблокирована.",Мусорный
800,"Docker Desktop зависает при работе. Переустановка не помогла. Инвентарный номер: GA-NB-56490.",IT
801,"Требуется справка о стаже для консульства. Срок: до 21.11. В электронном виде подойдёт.",Мусорный
802,"Не могу отправь файлы через корпоративную почту: вложения блокируются. Размер 105 МБ.",Мусорный
803,"Требуется добавить запись в трудовую книжку о повышении квалификации. Документ №УПК-2024-82976 от 23.12.",HR
804,"Не работает док-станция на 2 этаж, комната 7-145. Требуется замена или ремонт. Работа заблокирована.",Мусорный
805,"Docker Desktop зависает при работе. Переустановка не помогла. Инвентарный номер: GA-NB-56490.",IT
806,"Требуется справка о стаже для консульства. Срок: до 21.11. В электронном виде подойдёт.",Мусорный
807,"Не могу отправь файлы через корпоративную почту: вложения блокируются. Размер 105 МБ.",Мусорный
808,"Требуется добавить запись в трудовую книжку о повышении квалификации. Документ №УПК-2024-82976 от 23.12.",HR
809,"Не могу создать ветку в GitLab: «Branch name not allowed». Имя соответствует политике.",IT
810,"Контейнер в статусе CrashLoopBackOff. Логи показывают ошибку подключения к БД.",IT
811,"Повторно прошу оформить документ (заявка от 16.10). Срок горит, нужно до 18.10!",Мусорный
812,"Не работает мышка на 3 этаж, комната 6-495. Требуется замена или ремонт. Работа заблокирована.",Мусорный
813,"Не работает наушники на 4 этаж, комната 3-239. Требуется замена или ремонт. Работа заблокирована.",Мусорный
814,"Ошибка в Jenkins при сборке: «File not found». Права проверены, всё корректно.",IT
815,"Нужно: добавить в группу AD, настроить VPN-доступ, и выдать токен для двухфакторной аутентификации.",IT
816,"В книге покупок дублируются записи по документу №895. Нужна корректировка.",Мусорный
817,"После обновления не работают Notepad++, 1С ЗУП, и сетевой диск. Всё сломалось одновременно.",HR
818,"Требуется увеличить память на app-prod-04 с 16 до 32 ГБ. Производительность критична.",Мусорный
819,"Ошибка при обновлении зависимостей в npm: не может разрешить конфликт версий.",IT
820,"Git push отклоняется: «pre-receive hook declined». Размер коммита в пределах нормы.",IT
821,"СРОЧНО! Система не работает! Работа полностью заблокирована! Прошу немедленного решения!",Мусорный
822,"Не проходит этап тестирования в CI/CD: timeout при подключении к БД. Локально всё работает.",IT
